ID,da_percent,hra_percent,esi_eligible
1209,130.4,10.0,0
1210,130.4,10.0,0
1211,130.4,10.0,0
1252,137.6,10.0,0
1288,190.0,16.0,0
1290,163.0,10.0,0
1291,65.2,10.0,0
1293,163.0,10.0,0
1294,65.2,10.0,0
1295,65.2,10.0,0
1296,65.2,10.0,0
1297,30.8,10.0,0
1298,97.8,10.0,0
1299,65.2,10.0,0
1301,130.4,10.0,0
1303,97.8,10.0,0
1304,65.2,10.0,0
1306,97.8,10.0,0
1307,181.0,16.0,0
1308,97.8,10.0,0
1310,163.0,10.0,0
1312,34.4,10.0,0
1220,130.4,10.0,0
1221,130.4,10.0,0
1223,103.2,10.0,0
1225,190.0,16.0,0
1226,103.2,10.0,0
1229,190.0,16.0,0
1259,68.8,10.0,0
1260,190.0,16.0,0
1349,0.0,0.0,0
1359,0.0,0.0,0
1271,68.8,10.0,0
1262,34.4,10.0,0
1266,34.4,10.0,0
1269,103.2,10.0,0
1273,190.0,16.0,0
1278,103.2,10.0,0
1280,34.4,10.0,0
1246,34.4,10.0,0
1316,34.4,10.0,0
1317,34.4,10.0,0
1319,32.6,10.0,0
1320,32.6,10.0,0
1321,32.6,10.0,0
1323,130.4,10.0,0
1324,65.2,10.0,0
1325,32.6,10.0,0
1326,32.6,10.0,0
1327,32.6,10.0,0
1328,65.2,10.0,0
1329,32.6,10.0,0
1330,181.0,16.0,0
1331,181.0,16.0,0
1332,181.0,16.0,0
1333,181.0,16.0,0
1334,181.0,16.0,0
1335,130.4,10.0,0
1337,65.2,10.0,0
1338,181.0,16.0,0
1339,34.4,10.0,0
1344,172.0,16.0,0
1346,0.0,0.0,0
1345,0.0,10.0,0
1347,0.0,10.0,0
1348,172.0,16.0,0
1350,0.0,10.0,0
1351,172.0,16.0,0
1352,34.4,10.0,0
1353,34.4,10.0,0
1355,190.0,10.0,0
1356,190.0,16.0,0
1357,172.0,16.0,0
1358,34.4,10.0,0
1360,172.0,16.0,0
1361,172.0,16.0,0
1362,172.0,16.0,0
1363,137.6,10.0,0
1364,172.0,16.0,0
1365,172.0,16.0,0
1366,190.0,16.0,0
1367,34.4,10.0,0
1368,0.0,10.0,0
1369,0.0,10.0,0
1370,0.0,10.0,0
1371,0.0,10.0,0
1372,0.0,10.0,0
1373,0.0,10.0,0
1374,0.0,10.0,0
1390,0.0,0.0,0
1391,0.0,0.0,0
1378,0.0,0.0,0
1379,0.0,0.0,0
1380,0.0,0.0,0
1381,0.0,0.0,0
1382,0.0,0.0,0
1384,0.0,0.0,0
1385,0.0,0.0,0
1398,0.0,0.0,0
1399,0.0,0.0,0
1400,0.0,0.0,0
1402,0.0,0.0,0
1403,0.0,0.0,0
1404,0.0,0.0,0
1405,0.0,0.0,0
1406,0.0,0.0,0
1407,0.0,0.0,0
1472,0.0,0.0,0
1473,0.0,0.0,0
1474,0.0,0.0,0
1475,0.0,0.0,0
1476,0.0,0.0,0
1477,0.0,0.0,0
1478,0.0,0.0,0
1479,0.0,0.0,0
1480,0.0,0.0,0
1481,0.0,0.0,0
1482,0.0,0.0,0
1483,0.0,0.0,0
1484,0.0,0.0,0
1485,0.0,0.0,0
1486,0.0,0.0,0
1487,0.0,0.0,0
1488,0.0,0.0,0
1489,0.0,0.0,0
1490,0.0,0.0,0
1491,0.0,0.0,0
1492,0.0,0.0,0
1493,0.0,0.0,0
1494,0.0,0.0,0
1376,0.0,10.0,0
1392,0.0,0.0,0
1393,0.0,0.0,0
1496,0.0,0.0,0
1498,0.0,0.0,0
1499,0.0,0.0,0
1395,0.0,0.0,0
1282,0.0,0.0,0
